Date, Price , Open , High , Low , Vol. ,Change %
7/20/2009," 11,516.79 "," 13,881.65 "," 13,881.65 "," 13,881.65 ", -   ,-0.78%
7/21/2009," 11,607.82 "," 14,040.39 "," 14,040.39 "," 14,040.39 ", -   ,0.79%
7/22/2009," 11,643.61 "," 14,040.39 "," 14,040.39 "," 14,040.39 ", -   ,0.31%
7/23/2009," 11,763.09 "," 14,258.06 "," 14,258.06 "," 14,258.06 ", -   ,1.03%
7/24/2009," 11,662.17 "," 14,258.06 "," 14,258.06 "," 14,258.06 ", -   ,-0.86%
7/25/2009," 11,662.17 "," 14,258.06 "," 14,258.06 "," 14,258.06 ", -   ,0.00%
7/26/2009," 11,662.17 "," 14,258.06 "," 14,258.06 "," 14,258.06 ", -   ,0.00%
7/27/2009," 11,603.34 "," 13,245.82 "," 13,245.82 "," 13,245.82 ", -   ,-0.50%
7/28/2009," 11,585.22 "," 13,245.82 "," 13,245.82 "," 13,245.82 ", -   ,-0.16%
7/29/2009," 11,391.76 "," 12,903.46 "," 12,903.46 "," 12,903.46 ", -   ,-1.67%
7/30/2009," 11,321.11 "," 12,903.46 "," 12,903.46 "," 12,903.46 ", -   ,-0.62%
7/31/2009," 11,674.75 "," 12,903.46 "," 12,903.46 "," 12,903.46 ", -   ,3.12%
8/1/2009," 11,674.75 "," 12,903.46 "," 12,903.46 "," 12,903.46 ", -   ,0.00%
8/2/2009," 11,674.75 "," 12,903.46 "," 12,903.46 "," 12,903.46 ", -   ,0.00%
8/3/2009," 11,659.40 "," 13,577.59 "," 13,577.59 "," 13,577.59 ", -   ,-0.13%
8/4/2009," 11,730.05 "," 13,577.59 "," 13,577.59 "," 13,577.59 ", -   ,0.61%
8/5/2009," 11,863.01 "," 13,436.50 "," 13,436.50 "," 13,436.50 ", -   ,1.13%
8/6/2009," 11,804.14 "," 13,436.50 "," 13,436.50 "," 13,436.50 ", -   ,-0.50%
8/7/2009," 11,874.75 "," 13,436.50 "," 13,436.50 "," 13,436.50 ", -   ,0.60%
8/8/2009," 11,874.75 "," 13,436.50 "," 13,436.50 "," 13,436.50 ", -   ,0.00%
8/9/2009," 11,874.75 "," 13,436.50 "," 13,436.50 "," 13,436.50 ", -   ,0.00%
8/10/2009," 12,232.66 "," 13,210.26 "," 13,210.26 "," 13,210.26 ", -   ,3.01%
8/11/2009," 12,172.00 "," 13,250.02 "," 13,250.02 "," 13,250.02 ", -   ,-0.50%
8/12/2009," 12,103.59 "," 13,250.02 "," 13,250.02 "," 13,250.02 ", -   ,-0.56%
8/13/2009," 11,957.41 "," 13,491.51 "," 13,491.51 "," 13,491.51 ", -   ,-1.21%
8/14/2009," 11,957.41 "," 13,491.51 "," 13,491.51 "," 13,491.51 ", -   ,0.00%
8/15/2009," 11,957.41 "," 13,491.51 "," 13,491.51 "," 13,491.51 ", -   ,0.00%
8/16/2009," 11,957.41 "," 13,491.51 "," 13,491.51 "," 13,491.51 ", -   ,0.00%
8/17/2009," 11,810.24 "," 13,796.30 "," 13,796.30 "," 13,796.30 ", -   ,-1.23%
8/18/2009," 11,873.31 "," 13,796.30 "," 13,796.30 "," 13,796.30 ", -   ,0.53%
8/19/2009," 11,875.42 "," 13,754.06 "," 13,754.06 "," 13,754.06 ", -   ,0.02%
8/20/2009," 11,923.73 "," 13,754.06 "," 13,754.06 "," 13,754.06 ", -   ,0.41%
8/21/2009," 12,133.36 "," 13,754.06 "," 13,754.06 "," 13,754.06 ", -   ,1.76%
8/22/2009," 12,133.36 "," 13,754.06 "," 13,754.06 "," 13,754.06 ", -   ,0.00%
8/23/2009," 12,133.36 "," 13,754.06 "," 13,754.06 "," 13,754.06 ", -   ,0.00%
8/24/2009," 12,437.54 "," 14,659.56 "," 14,659.56 "," 14,659.56 ", -   ,2.51%
8/25/2009," 12,451.23 "," 14,659.56 "," 14,659.56 "," 14,659.56 ", -   ,0.11%
8/26/2009," 12,572.77 "," 14,418.10 "," 14,418.10 "," 14,418.10 ", -   ,0.98%
8/27/2009," 12,551.05 "," 14,418.10 "," 14,418.10 "," 14,418.10 ", -   ,-0.17%
8/28/2009," 12,855.50 "," 14,215.79 "," 14,215.79 "," 14,215.79 ", -   ,2.43%
8/29/2009," 12,855.50 "," 14,215.79 "," 14,215.79 "," 14,215.79 ", -   ,0.00%
8/30/2009," 12,855.50 "," 14,215.79 "," 14,215.79 "," 14,215.79 ", -   ,0.00%
8/31/2009," 12,938.54 "," 14,435.64 "," 14,435.64 "," 14,435.64 ", -   ,0.65%
9/1/2009," 12,893.76 "," 14,435.64 "," 14,435.64 "," 14,435.64 ", -   ,-0.35%
9/2/2009," 12,897.13 "," 14,434.14 "," 14,434.14 "," 14,434.14 ", -   ,0.03%
9/3/2009," 12,816.81 "," 14,434.14 "," 14,434.14 "," 14,434.14 ", -   ,-0.62%
9/4/2009," 13,084.33 "," 14,550.62 "," 14,550.62 "," 14,550.62 ", -   ,2.09%
9/5/2009," 13,084.33 "," 14,550.62 "," 14,550.62 "," 14,550.62 ", -   ,0.00%
9/6/2009," 13,084.33 "," 14,550.62 "," 14,550.62 "," 14,550.62 ", -   ,0.00%
9/7/2009," 13,039.80 "," 14,363.02 "," 14,363.02 "," 14,363.02 ", -   ,-0.34%
9/8/2009," 12,908.74 "," 14,411.42 "," 14,411.42 "," 14,411.42 ", -   ,-1.01%
9/9/2009," 13,342.47 "," 14,411.42 "," 14,411.42 "," 14,411.42 ", -   ,3.36%
9/10/2009," 13,286.03 "," 15,070.33 "," 15,070.33 "," 15,070.33 ", -   ,-0.42%
9/11/2009," 13,414.33 "," 15,070.33 "," 15,070.33 "," 15,070.33 ", -   ,0.97%
9/12/2009," 13,414.33 "," 15,070.33 "," 15,070.33 "," 15,070.33 ", -   ,0.00%
9/13/2009," 13,414.33 "," 15,070.33 "," 15,070.33 "," 15,070.33 ", -   ,0.00%
9/14/2009," 13,395.25 "," 15,013.31 "," 15,013.31 "," 15,013.31 ", -   ,-0.14%
9/15/2009," 13,256.40 "," 15,392.21 "," 15,392.21 "," 15,392.21 ", -   ,-1.04%
9/16/2009," 13,504.28 "," 15,392.21 "," 15,392.21 "," 15,392.21 ", -   ,1.87%
9/17/2009," 13,652.67 "," 15,860.53 "," 15,860.53 "," 15,860.53 ", -   ,1.10%
9/18/2009," 13,893.54 "," 15,860.53 "," 15,860.53 "," 15,860.53 ", -   ,1.76%
9/19/2009," 13,893.54 "," 15,860.53 "," 15,860.53 "," 15,860.53 ", -   ,0.00%
